Constituent,Julian_day,Depth,Elevation,Seg_29 ,Elevation,Seg_15 ,Elevation
Temperature,8.5,25.921,60.655,-99,60.655,-99,
Temperature,8.5,26.531,60.045,-99,60.045,-99,
Temperature,8.5,27.141,59.435,-99,59.435,-99,
Temperature,8.5,27.751,58.825,-99,58.825,-99,
Temperature,8.5,28.361,58.215,-99,58.215,-99,
Temperature,8.5,28.971,57.605,-99,57.605,-99,
TDS                                   ,8.5,0.303,86.273,51.407,86.273,54.911,
TDS                                   ,8.5,0.911,85.665,51.409,85.665,54.914,
TDS                                   ,8.5,1.521,85.055,51.411,85.055,54.916,
TDS                                   ,8.5,2.131,84.445,51.411,84.445,54.918,
TDS                                   ,8.5,2.741,83.835,51.411,83.835,54.919,
TDS                                   ,8.5,3.351,83.225,51.411,83.225,54.921,
TDS                                   ,8.5,3.961,82.615,51.411,82.615,54.926,
TDS                                   ,8.5,4.571,82.005,51.411,82.005,54.944,
TDS                                   ,8.5,5.181,81.395,51.411,81.395,55.082,
TDS                                   ,8.5,5.791,80.785,51.411,80.785,55.132,
TDS                                   ,8.5,6.401,80.175,51.411,80.175,55.144,
TDS                                   ,8.5,7.011,79.565,51.411,79.565,55.15,
TDS                                   ,8.5,7.621,78.955,51.411,78.955,55.153,
TDS                                   ,8.5,8.231,78.345,51.411,78.345,55.154,
TDS                                   ,8.5,8.841,77.735,51.411,77.735,55.155,
TDS                                   ,8.5,9.451,77.125,51.411,77.125,55.155,
TDS                                   ,8.5,10.061,76.515,51.412,76.515,55.155,
TDS                                   ,8.5,10.671,75.905,51.421,75.905,55.155,
TDS                                   ,8.5,11.281,75.295,51.437,75.295,55.155,
TDS                                   ,8.5,11.891,74.685,51.463,74.685,55.154,
TDS                                   ,8.5,12.501,74.075,51.493,74.075,55.153,
TDS                                   ,8.5,13.111,73.465,51.512,73.465,55.152,
TDS                                   ,8.5,13.721,72.855,51.517,72.855,55.152,
TDS                                   ,8.5,14.331,72.245,51.519,72.245,55.151,
TDS                                   ,8.5,14.941,71.635,51.522,71.635,55.151,
TDS                                   ,8.5,15.551,71.025,51.524,71.025,55.15,
TDS                                   ,8.5,16.161,70.415,51.525,70.415,55.15,
TDS                                   ,8.5,16.771,69.805,51.526,69.805,-99,
TDS                                   ,8.5,17.381,69.195,51.528,69.195,-99,
TDS                                   ,8.5,17.991,68.585,51.529,68.585,-99,
TDS                                   ,8.5,18.601,67.975,51.529,67.975,-99,
TDS                                   ,8.5,19.211,67.365,51.53,67.365,-99,
TDS                                   ,8.5,19.821,66.755,51.531,66.755,-99,
TDS                                   ,8.5,20.431,66.145,51.531,66.145,-99,
TDS                                   ,8.5,21.041,65.535,51.532,65.535,-99,
TDS                                   ,8.5,21.651,64.925,51.532,64.925,-99,
TDS                                   ,8.5,22.261,64.315,51.533,64.315,-99,
TDS                                   ,8.5,22.871,63.705,51.533,63.705,-99,
TDS                                   ,8.5,23.481,63.095,51.531,63.095,-99,
TDS                                   ,8.5,24.091,62.485,51.53,62.485,-99,
TDS                                   ,8.5,24.701,61.875,51.529,61.875,-99,
TDS                                   ,8.5,25.311,61.265,-99,61.265,-99,
TDS                                   ,8.5,25.921,60.655,-99,60.655,-99,
TDS                                   ,8.5,26.531,60.045,-99,60.045,-99,
TDS                                   ,8.5,27.141,59.435,-99,59.435,-99,
TDS                                   ,8.5,27.751,58.825,-99,58.825,-99,
TDS                                   ,8.5,28.361,58.215,-99,58.215,-99,
TDS                                   ,8.5,28.971,57.605,-99,57.605,-99,
Tracer                                ,8.5,0.303,86.273,0,86.273,0,
Tracer                                ,8.5,0.911,85.665,0,85.665,0,
Tracer                                ,8.5,1.521,85.055,0,85.055,0,
Tracer                                ,8.5,2.131,84.445,0,84.445,0,
Tracer                                ,8.5,2.741,83.835,0,83.835,0,
Tracer                                ,8.5,3.351,83.225,0,83.225,0,
Tracer                                ,8.5,3.961,82.615,0,82.615,0,
Tracer                                ,8.5,4.571,82.005,0,82.005,0,
Tracer                                ,8.5,5.181,81.395,0,81.395,0,
Tracer                                ,8.5,5.791,80.785,0,80.785,0,
Tracer                                ,8.5,6.401,80.175,0,80.175,0,
Tracer                                ,8.5,7.011,79.565,0,79.565,0,
Tracer                                ,8.5,7.621,78.955,0,78.955,0,
Tracer                                ,8.5,8.231,78.345,0,78.345,0,
Tracer                                ,8.5,8.841,77.735,0,77.735,0,
Tracer                                ,8.5,9.451,77.125,0,77.125,0,
Tracer                                ,8.5,10.061,76.515,0,76.515,0,
Tracer                                ,8.5,10.671,75.905,0,75.905,0,
Tracer                                ,8.5,11.281,75.295,0,75.295,0,
Tracer                                ,8.5,11.891,74.685,0,74.685,0,
Tracer                                ,8.5,12.501,74.075,0,74.075,0,
Tracer                                ,8.5,13.111,73.465,0,73.465,0,
Tracer                                ,8.5,13.721,72.855,0,72.855,0,
Tracer                                ,8.5,14.331,72.245,0,72.245,0,
Tracer                                ,8.5,14.941,71.635,0,71.635,0,
Tracer                                ,8.5,15.551,71.025,0,71.025,0,
Tracer                                ,8.5,16.161,70.415,0,70.415,0,
Tracer                                ,8.5,16.771,69.805,0,69.805,-99,
Tracer                                ,8.5,17.381,69.195,0,69.195,-99,
Tracer                                ,8.5,17.991,68.585,0,68.585,-99,
Tracer                                ,8.5,18.601,67.975,0,67.975,-99,
Tracer                                ,8.5,19.211,67.365,0,67.365,-99,
Tracer                                ,8.5,19.821,66.755,0,66.755,-99,
Tracer                                ,8.5,20.431,66.145,0,66.145,-99,
Tracer                                ,8.5,21.041,65.535,0,65.535,-99,
Tracer                                ,8.5,21.651,64.925,0,64.925,-99,
Tracer                                ,8.5,22.261,64.315,0,64.315,-99,
Tracer                                ,8.5,22.871,63.705,0,63.705,-99,
Tracer                                ,8.5,23.481,63.095,0,63.095,-99,
Tracer                                ,8.5,24.091,62.485,0,62.485,-99,
Tracer                                ,8.5,24.701,61.875,0,61.875,-99,
Tracer                                ,8.5,25.311,61.265,-99,61.265,-99,
Tracer                                ,8.5,25.921,60.655,-99,60.655,-99,
Tracer                                ,8.5,26.531,60.045,-99,60.045,-99,
Tracer                                ,8.5,27.141,59.435,-99,59.435,-99,
Tracer                                ,8.5,27.751,58.825,-99,58.825,-99,
Tracer                                ,8.5,28.361,58.215,-99,58.215,-99,
Tracer                                ,8.5,28.971,57.605,-99,57.605,-99,
Conductivity                          ,8.5,0.303,86.273,62.029,86.273,65.535,
Conductivity                          ,8.5,0.911,85.665,62.064,85.665,65.587,
Conductivity                          ,8.5,1.521,85.055,62.083,85.055,65.624,
Conductivity                          ,8.5,2.131,84.445,62.092,84.445,65.656,
Conductivity                          ,8.5,2.741,83.835,62.093,83.835,65.676,
Conductivity                          ,8.5,3.351,83.225,62.092,83.225,65.695,
Conductivity                          ,8.5,3.961,82.615,62.091,82.615,65.745,
Conductivity                          ,8.5,4.571,82.005,62.091,82.005,65.911,
Conductivity                          ,8.5,5.181,81.395,62.09,81.395,67.103,
Conductivity                          ,8.5,5.791,80.785,62.09,80.785,67.514,
Conductivity                          ,8.5,6.401,80.175,62.09,80.175,67.604,
Conductivity                          ,8.5,7.011,79.565,62.09,79.565,67.652,
Conductivity                          ,8.5,7.621,78.955,62.09,78.955,67.676,
Conductivity                          ,8.5,8.231,78.345,62.09,78.345,67.687,
Conductivity                          ,8.5,8.841,77.735,62.09,77.735,67.692,
Conductivity                          ,8.5,9.451,77.125,62.09,77.125,67.692,
Conductivity                          ,8.5,10.061,76.515,62.096,76.515,67.691,
Conductivity                          ,8.5,10.671,75.905,62.158,75.905,67.687,
Conductivity                          ,8.5,11.281,75.295,62.3,75.295,67.681,
Conductivity                          ,8.5,11.891,74.685,62.546,74.685,67.673,
Conductivity                          ,8.5,12.501,74.075,62.839,74.075,67.662,
Conductivity                          ,8.5,13.111,73.465,63.021,73.465,67.65,
Conductivity                          ,8.5,13.721,72.855,63.062,72.855,67.642,
Conductivity                          ,8.5,14.331,72.245,63.078,72.245,67.638,
Conductivity                          ,8.5,14.941,71.635,63.1,71.635,67.631,
Conductivity                          ,8.5,15.551,71.025,63.115,71.025,67.624,
Conductivity                          ,8.5,16.161,70.415,63.124,70.415,67.621,
Conductivity                          ,8.5,16.771,69.805,63.132,69.805,-99,
Conductivity                          ,8.5,17.381,69.195,63.14,69.195,-99,
Conductivity                          ,8.5,17.991,68.585,63.146,68.585,-99,
Conductivity                          ,8.5,18.601,67.975,63.151,67.975,-99,
Conductivity                          ,8.5,19.211,67.365,63.155,67.365,-99,
Conductivity                          ,8.5,19.821,66.755,63.159,66.755,-99,
Conductivity                          ,8.5,20.431,66.145,63.162,66.145,-99,
Conductivity                          ,8.5,21.041,65.535,63.165,65.535,-99,
Conductivity                          ,8.5,21.651,64.925,63.166,64.925,-99,
Conductivity                          ,8.5,22.261,64.315,63.167,64.315,-99,
Conductivity                          ,8.5,22.871,63.705,63.167,63.705,-99,
Conductivity                          ,8.5,23.481,63.095,63.155,63.095,-99,
Conductivity                          ,8.5,24.091,62.485,63.139,62.485,-99,
Conductivity                          ,8.5,24.701,61.875,63.135,61.875,-99,
Conductivity                          ,8.5,25.311,61.265,-99,61.265,-99,
Conductivity                          ,8.5,25.921,60.655,-99,60.655,-99,
Conductivity                          ,8.5,26.531,60.045,-99,60.045,-99,
Conductivity                          ,8.5,27.141,59.435,-99,59.435,-99,
Conductivity                          ,8.5,27.751,58.825,-99,58.825,-99,
Conductivity                          ,8.5,28.361,58.215,-99,58.215,-99,
Conductivity                          ,8.5,28.971,57.605,-99,57.605,-99,
Chloride                              ,8.5,0.303,86.273,2.373,86.273,2.534,
Chloride                              ,8.5,0.911,85.665,2.373,85.665,2.535,
Chloride                              ,8.5,1.521,85.055,2.373,85.055,2.535,
Chloride                              ,8.5,2.131,84.445,2.373,84.445,2.535,
Chloride                              ,8.5,2.741,83.835,2.373,83.835,2.535,
Chloride                              ,8.5,3.351,83.225,2.373,83.225,2.535,
Chloride                              ,8.5,3.961,82.615,2.373,82.615,2.535,
Chloride                              ,8.5,4.571,82.005,2.373,82.005,2.536,
Chloride                              ,8.5,5.181,81.395,2.373,81.395,2.542,
Chloride                              ,8.5,5.791,80.785,2.373,80.785,2.545,
Chloride                              ,8.5,6.401,80.175,2.373,80.175,2.545,
Chloride                              ,8.5,7.011,79.565,2.373,79.565,2.545,
Chloride                              ,8.5,7.621,78.955,2.373,78.955,2.546,
Chloride                              ,8.5,8.231,78.345,2.373,78.345,2.546,
Chloride                              ,8.5,8.841,77.735,2.373,77.735,2.546,
Chloride                              ,8.5,9.451,77.125,2.373,77.125,2.546,
Chloride                              ,8.5,10.061,76.515,2.373,76.515,2.546,
Chloride                              ,8.5,10.671,75.905,2.373,75.905,2.546,
Chloride                              ,8.5,11.281,75.295,2.374,75.295,2.546,
Chloride                              ,8.5,11.891,74.685,2.375,74.685,2.546,
Chloride                              ,8.5,12.501,74.075,2.377,74.075,2.546,
Chloride                              ,8.5,13.111,73.465,2.377,73.465,2.546,
Chloride                              ,8.5,13.721,72.855,2.378,72.855,2.546,
Chloride                              ,8.5,14.331,72.245,2.378,72.245,2.545,
Chloride                              ,8.5,14.941,71.635,2.378,71.635,2.545,
Chloride                              ,8.5,15.551,71.025,2.378,71.025,2.545,
Chloride                              ,8.5,16.161,70.415,2.378,70.415,2.545,
Chloride                              ,8.5,16.771,69.805,2.378,69.805,-99,
Chloride                              ,8.5,17.381,69.195,2.378,69.195,-99,
Chloride                              ,8.5,17.991,68.585,2.378,68.585,-99,
Chloride                              ,8.5,18.601,67.975,2.378,67.975,-99,
Chloride                              ,8.5,19.211,67.365,2.378,67.365,-99,
Chloride                              ,8.5,19.821,66.755,2.378,66.755,-99,
Chloride                              ,8.5,20.431,66.145,2.378,66.145,-99,
Chloride                              ,8.5,21.041,65.535,2.378,65.535,-99,
Chloride                              ,8.5,21.651,64.925,2.378,64.925,-99,
Chloride                              ,8.5,22.261,64.315,2.378,64.315,-99,
Chloride                              ,8.5,22.871,63.705,2.378,63.705,-99,
Chloride                              ,8.5,23.481,63.095,2.378,63.095,-99,
Chloride                              ,8.5,24.091,62.485,2.378,62.485,-99,
Chloride                              ,8.5,24.701,61.875,2.378,61.875,-99,
Chloride                              ,8.5,25.311,61.265,-99,61.265,-99,
Chloride                              ,8.5,25.921,60.655,-99,60.655,-99,
Chloride                              ,8.5,26.531,60.045,-99,60.045,-99,
Chloride                              ,8.5,27.141,59.435,-99,59.435,-99,
Chloride                              ,8.5,27.751,58.825,-99,58.825,-99,
Chloride                              ,8.5,28.361,58.215,-99,58.215,-99,
Chloride                              ,8.5,28.971,57.605,-99,57.605,-99,
ISS                                   ,8.5,0.303,86.273,0.66,86.273,0.803,
ISS                                   ,8.5,0.911,85.665,0.676,85.665,0.825,
ISS                                   ,8.5,1.521,85.055,0.686,85.055,0.834,
ISS                                   ,8.5,2.131,84.445,0.691,84.445,0.834,
ISS                                   ,8.5,2.741,83.835,0.693,83.835,0.833,
ISS                                   ,8.5,3.351,83.225,0.693,83.225,0.832,
ISS                                   ,8.5,3.961,82.615,0.694,82.615,0.831,
ISS                                   ,8.5,4.571,82.005,0.694,82.005,0.834,
ISS                                   ,8.5,5.181,81.395,0.694,81.395,0.873,
ISS                                   ,8.5,5.791,80.785,0.694,80.785,0.888,
ISS                                   ,8.5,6.401,80.175,0.694,80.175,0.887,
ISS                                   ,8.5,7.011,79.565,0.694,79.565,0.885,
ISS                                   ,8.5,7.621,78.955,0.694,78.955,0.884,
ISS                                   ,8.5,8.231,78.345,0.694,78.345,0.884,
ISS                                   ,8.5,8.841,77.735,0.694,77.735,0.884,
ISS                                   ,8.5,9.451,77.125,0.694,77.125,0.885,
ISS                                   ,8.5,10.061,76.515,0.697,76.515,0.885,
ISS                                   ,8.5,10.671,75.905,0.72,75.905,0.886,
ISS                                   ,8.5,11.281,75.295,0.75,75.295,0.886,
ISS                                   ,8.5,11.891,74.685,0.781,74.685,0.885,
ISS                                   ,8.5,12.501,74.075,0.813,74.075,0.885,
ISS                                   ,8.5,13.111,73.465,0.838,73.465,0.885,
ISS                                   ,8.5,13.721,72.855,0.85,72.855,0.884,
ISS                                   ,8.5,14.331,72.245,0.853,72.245,0.884,
ISS                                   ,8.5,14.941,71.635,0.854,71.635,0.884,
ISS                                   ,8.5,15.551,71.025,0.854,71.025,0.884,
ISS                                   ,8.5,16.161,70.415,0.854,70.415,0.884,
ISS                                   ,8.5,16.771,69.805,0.853,69.805,-99,
ISS                                   ,8.5,17.381,69.195,0.853,69.195,-99,
ISS                                   ,8.5,17.991,68.585,0.853,68.585,-99,
ISS                                   ,8.5,18.601,67.975,0.852,67.975,-99,
ISS                                   ,8.5,19.211,67.365,0.852,67.365,-99,
ISS                                   ,8.5,19.821,66.755,0.851,66.755,-99,
ISS                                   ,8.5,20.431,66.145,0.85,66.145,-99,
ISS                                   ,8.5,21.041,65.535,0.85,65.535,-99,
ISS                                   ,8.5,21.651,64.925,0.849,64.925,-99,
ISS                                   ,8.5,22.261,64.315,0.848,64.315,-99,
ISS                                   ,8.5,22.871,63.705,0.847,63.705,-99,
ISS                                   ,8.5,23.481,63.095,0.846,63.095,-99,
ISS                                   ,8.5,24.091,62.485,0.845,62.485,-99,
ISS                                   ,8.5,24.701,61.875,0.845,61.875,-99,
ISS                                   ,8.5,25.311,61.265,-99,61.265,-99,
ISS                                   ,8.5,25.921,60.655,-99,60.655,-99,
ISS                                   ,8.5,26.531,60.045,-99,60.045,-99,
ISS                                   ,8.5,27.141,59.435,-99,59.435,-99,
ISS                                   ,8.5,27.751,58.825,-99,58.825,-99,
ISS                                   ,8.5,28.361,58.215,-99,58.215,-99,
ISS                                   ,8.5,28.971,57.605,-99,57.605,-99,
Age                                   ,8.5,0.303,86.273,139.388,86.273,142.325,
Age                                   ,8.5,0.911,85.665,139.588,85.665,142.598,
Age                                   ,8.5,1.521,85.055,139.699,85.055,142.767,
Age                                   ,8.5,2.131,84.445,139.755,84.445,142.888,
Age                                   ,8.5,2.741,83.835,139.767,83.835,142.984,
Age                                   ,8.5,3.351,83.225,139.768,83.225,143.102,
Age                                   ,8.5,3.961,82.615,139.767,82.615,143.448,
Age                                   ,8.5,4.571,82.005,139.766,82.005,144.732,
Age                                   ,8.5,5.181,81.395,139.765,81.395,154.676,
Age                                   ,8.5,5.791,80.785,139.765,80.785,158.261,
Age                                   ,8.5,6.401,80.175,139.765,80.175,159.118,
Age                                   ,8.5,7.011,79.565,139.764,79.565,159.519,
Age                                   ,8.5,7.621,78.955,139.765,78.955,159.705,
Age                                   ,8.5,8.231,78.345,139.766,78.345,159.794,
Age                                   ,8.5,8.841,77.735,139.769,77.735,159.837,
Age                                   ,8.5,9.451,77.125,139.773,77.125,159.853,
Age                                   ,8.5,10.061,76.515,139.868,76.515,159.849,
Age                                   ,8.5,10.671,75.905,140.58,75.905,159.826,
Age                                   ,8.5,11.281,75.295,141.845,75.295,159.787,
Age                                   ,8.5,11.891,74.685,143.69,74.685,159.735,
Age                                   ,8.5,12.501,74.075,145.766,74.075,159.662,
Age                                   ,8.5,13.111,73.465,147.077,73.465,159.583,
Age                                   ,8.5,13.721,72.855,147.384,72.855,159.524,
Age                                   ,8.5,14.331,72.245,147.527,72.245,159.495,
Age                                   ,8.5,14.941,71.635,147.707,71.635,159.449,
Age                                   ,8.5,15.551,71.025,147.841,71.025,159.398,
Age                                   ,8.5,16.161,70.415,147.927,70.415,159.377,
Age                                   ,8.5,16.771,69.805,148.004,69.805,-99,
Age                                   ,8.5,17.381,69.195,148.072,69.195,-99,
Age                                   ,8.5,17.991,68.585,148.13,68.585,-99,
Age                                   ,8.5,18.601,67.975,148.182,67.975,-99,
Age                                   ,8.5,19.211,67.365,148.229,67.365,-99,
Age                                   ,8.5,19.821,66.755,148.27,66.755,-99,
Age                                   ,8.5,20.431,66.145,148.305,66.145,-99,
Age                                   ,8.5,21.041,65.535,148.335,65.535,-99,
Age                                   ,8.5,21.651,64.925,148.358,64.925,-99,
Age                                   ,8.5,22.261,64.315,148.372,64.315,-99,
Age                                   ,8.5,22.871,63.705,148.381,63.705,-99,
Age                                   ,8.5,23.481,63.095,148.271,63.095,-99,
Age                                   ,8.5,24.091,62.485,148.126,62.485,-99,
Age                                   ,8.5,24.701,61.875,148.087,61.875,-99,
Age                                   ,8.5,25.311,61.265,-99,61.265,-99,
Age                                   ,8.5,25.921,60.655,-99,60.655,-99,
Age                                   ,8.5,26.531,60.045,-99,60.045,-99,
Age                                   ,8.5,27.141,59.435,-99,59.435,-99,
Age                                   ,8.5,27.751,58.825,-99,58.825,-99,
Age                                   ,8.5,28.361,58.215,-99,58.215,-99,
Age                                   ,8.5,28.971,57.605,-99,57.605,-99,
Bacteria                              ,8.5,0.303,86.273,0,86.273,0,
Bacteria                              ,8.5,0.911,85.665,0,85.665,0,
Bacteria                              ,8.5,1.521,85.055,0,85.055,0,
Bacteria                              ,8.5,2.131,84.445,0,84.445,0,
Bacteria                              ,8.5,2.741,83.835,0,83.835,0,
Bacteria                              ,8.5,3.351,83.225,0,83.225,0,
Bacteria                              ,8.5,3.961,82.615,0,82.615,0,
Bacteria                              ,8.5,4.571,82.005,0,82.005,0,
Bacteria                              ,8.5,5.181,81.395,0,81.395,0,
Bacteria                              ,8.5,5.791,80.785,0,80.785,0,
Bacteria                              ,8.5,6.401,80.175,0,80.175,0,
Bacteria                              ,8.5,7.011,79.565,0,79.565,0,
Bacteria                              ,8.5,7.621,78.955,0,78.955,0,
Bacteria                              ,8.5,8.231,78.345,0,78.345,0,
Bacteria                              ,8.5,8.841,77.735,0,77.735,0,
Bacteria                              ,8.5,9.451,77.125,0,77.125,0,
Bacteria                              ,8.5,10.061,76.515,0,76.515,0,
Bacteria                              ,8.5,10.671,75.905,0,75.905,0,
Bacteria                              ,8.5,11.281,75.295,0,75.295,0,
Bacteria                              ,8.5,11.891,74.685,0,74.685,0,
Bacteria                              ,8.5,12.501,74.075,0,74.075,0,
Bacteria                              ,8.5,13.111,73.465,0,73.465,0,
Bacteria                              ,8.5,13.721,72.855,0,72.855,0,
Bacteria                              ,8.5,14.331,72.245,0,72.245,0,
Bacteria                              ,8.5,14.941,71.635,0,71.635,0,
Bacteria                              ,8.5,15.551,71.025,0,71.025,0,
Bacteria                              ,8.5,16.161,70.415,0,70.415,0,
Bacteria                              ,8.5,16.771,69.805,0,69.805,-99,
Bacteria                              ,8.5,17.381,69.195,0,69.195,-99,
Bacteria                              ,8.5,17.991,68.585,0,68.585,-99,
Bacteria                              ,8.5,18.601,67.975,0,67.975,-99,
Bacteria                              ,8.5,19.211,67.365,0,67.365,-99,
Bacteria                              ,8.5,19.821,66.755,0,66.755,-99,
Bacteria                              ,8.5,20.431,66.145,0,66.145,-99,
Bacteria                              ,8.5,21.041,65.535,0,65.535,-99,
Bacteria                              ,8.5,21.651,64.925,0,64.925,-99,
Bacteria                              ,8.5,22.261,64.315,0,64.315,-99,
Bacteria                              ,8.5,22.871,63.705,0,63.705,-99,
Bacteria                              ,8.5,23.481,63.095,0,63.095,-99,
Bacteria                              ,8.5,24.091,62.485,0,62.485,-99,
Bacteria                              ,8.5,24.701,61.875,0,61.875,-99,
Bacteria                              ,8.5,25.311,61.265,-99,61.265,-99,
Bacteria                              ,8.5,25.921,60.655,-99,60.655,-99,
Bacteria                              ,8.5,26.531,60.045,-99,60.045,-99,
Bacteria                              ,8.5,27.141,59.435,-99,59.435,-99,
Bacteria                              ,8.5,27.751,58.825,-99,58.825,-99,
Bacteria                              ,8.5,28.361,58.215,-99,58.215,-99,
Bacteria                              ,8.5,28.971,57.605,-99,57.605,-99,
H2S                                   ,8.5,0.303,86.273,0,86.273,0,
H2S                                   ,8.5,0.911,85.665,0,85.665,0,
H2S                                   ,8.5,1.521,85.055,0,85.055,0,
H2S                                   ,8.5,2.131,84.445,0,84.445,0,
H2S                                   ,8.5,2.741,83.835,0,83.835,0,
H2S                                   ,8.5,3.351,83.225,0,83.225,0,
H2S                                   ,8.5,3.961,82.615,0,82.615,0,
H2S                                   ,8.5,4.571,82.005,0,82.005,0,
H2S                                   ,8.5,5.181,81.395,0,81.395,0,
H2S                                   ,8.5,5.791,80.785,0,80.785,0,
H2S                                   ,8.5,6.401,80.175,0,80.175,0,
H2S                                   ,8.5,7.011,79.565,0,79.565,0,
H2S                                   ,8.5,7.621,78.955,0,78.955,0,
H2S                                   ,8.5,8.231,78.345,0,78.345,0,
H2S                                   ,8.5,8.841,77.735,0,77.735,0,
H2S                                   ,8.5,9.451,77.125,0,77.125,0,
H2S                                   ,8.5,10.061,76.515,0,76.515,0,
H2S                                   ,8.5,10.671,75.905,0,75.905,0,
H2S                                   ,8.5,11.281,75.295,0,75.295,0,
H2S                                   ,8.5,11.891,74.685,0,74.685,0,
H2S                                   ,8.5,12.501,74.075,0,74.075,0,
H2S                                   ,8.5,13.111,73.465,0,73.465,0,
H2S                                   ,8.5,13.721,72.855,0,72.855,0,
H2S                                   ,8.5,14.331,72.245,0,72.245,0,
H2S                                   ,8.5,14.941,71.635,0,71.635,0,
H2S                                   ,8.5,15.551,71.025,0,71.025,0,
H2S                                   ,8.5,16.161,70.415,0,70.415,0,
H2S                                   ,8.5,16.771,69.805,0,69.805,-99,
H2S                                   ,8.5,17.381,69.195,0,69.195,-99,
H2S                                   ,8.5,17.991,68.585,0,68.585,-99,
H2S                                   ,8.5,18.601,67.975,0,67.975,-99,
H2S                                   ,8.5,19.211,67.365,0,67.365,-99,
H2S                                   ,8.5,19.821,66.755,0,66.755,-99,
H2S                                   ,8.5,20.431,66.145,0,66.145,-99,
H2S                                   ,8.5,21.041,65.535,0,65.535,-99,
H2S                                   ,8.5,21.651,64.925,0,64.925,-99,
H2S                                   ,8.5,22.261,64.315,0,64.315,-99,
H2S                                   ,8.5,22.871,63.705,0,63.705,-99,
H2S                                   ,8.5,23.481,63.095,0,63.095,-99,
H2S                                   ,8.5,24.091,62.485,0,62.485,-99,
H2S                                   ,8.5,24.701,61.875,0,61.875,-99,
H2S                                   ,8.5,25.311,61.265,-99,61.265,-99,
H2S                                   ,8.5,25.921,60.655,-99,60.655,-99,
H2S                                   ,8.5,26.531,60.045,-99,60.045,-99,
H2S                                   ,8.5,27.141,59.435,-99,59.435,-99,
H2S                                   ,8.5,27.751,58.825,-99,58.825,-99,
H2S                                   ,8.5,28.361,58.215,-99,58.215,-99,
H2S                                   ,8.5,28.971,57.605,-99,57.605,-99,
CH4_dissolved_gas                     ,8.5,0.303,86.273,0,86.273,0,
CH4_dissolved_gas                     ,8.5,0.911,85.665,0,85.665,0,
CH4_dissolved_gas                     ,8.5,1.521,85.055,0,85.055,0,
CH4_dissolved_gas                     ,8.5,2.131,84.445,0,84.445,0,
CH4_dissolved_gas                     ,8.5,2.741,83.835,0,83.835,0,
CH4_dissolved_gas                     ,8.5,3.351,83.225,0,83.225,0,
CH4_dissolved_gas                     ,8.5,3.961,82.615,0,82.615,0,
CH4_dissolved_gas                     ,8.5,4.571,82.005,0,82.005,0,
CH4_dissolved_gas                     ,8.5,5.181,81.395,0,81.395,0,
CH4_dissolved_gas                     ,8.5,5.791,80.785,0,80.785,0,
CH4_dissolved_gas                     ,8.5,6.401,80.175,0,80.175,0,
