Site,Date,JDAY,Depth_m,Lab_Parameter,Lab_Units,Value
Site1,2/25/2013 11:03,56.46041667,11,Dissolved Oxygen,%,83.79
Site2,2/25/2013 11:03,56.46041667,11,Dissolved Oxygen,mg/l,10.6704
Site2,2/25/2013 11:03,56.46041667,11,Dissolved Oxygen,%,90.4932
Site1,2/25/2013 11:03,56.46041667,11,Temperature,deg C,7.752
Site2,2/25/2013 11:03,56.46041667,11,Temperature,deg C,8.3722
Site1,2/25/2013 11:06,56.4625,13,Dissolved Oxygen,%,82.365
Site1,2/25/2013 11:06,56.4625,13,Dissolved Oxygen,mg/l,9.7565
Site2,2/25/2013 11:06,56.4625,13,Dissolved Oxygen,%,88.9542
Site2,2/25/2013 11:06,56.4625,13,Dissolved Oxygen,mg/l,10.537
Site1,2/25/2013 11:06,56.4625,13,Temperature,deg C,7.6285
Site2,2/25/2013 11:06,56.4625,13,Temperature,deg C,8.2388
Site1,2/25/2013 11:09,56.46458333,15,Dissolved Oxygen,mg/l,9.652
Site1,2/25/2013 11:09,56.46458333,15,Dissolved Oxygen,%,81.32
Site2,2/25/2013 11:09,56.46458333,15,Dissolved Oxygen,mg/l,10.4242
Site2,2/25/2013 11:09,56.46458333,15,Dissolved Oxygen,%,87.8256
Site1,2/25/2013 11:09,56.46458333,15,Temperature,deg C,7.524
Site2,2/25/2013 11:09,56.46458333,15,Temperature,deg C,8.1259
Site1,2/25/2013 11:12,56.46666667,17,Dissolved Oxygen,%,80.18
Site1,2/25/2013 11:12,56.46666667,17,Dissolved Oxygen,mg/l,9.5285
Site1,2/25/2013 11:12,56.46666667,17,Temperature,deg C,7.4955
Site1,2/25/2013 11:15,56.46875,19,Dissolved Oxygen,%,79.135
Site1,2/25/2013 11:15,56.46875,19,Dissolved Oxygen,mg/l,9.424
Site1,2/25/2013 11:15,56.46875,19,Temperature,deg C,7.41
Site1,2/25/2013 11:18,56.47083333,21,Dissolved Oxygen,%,78.47
Site1,2/25/2013 11:18,56.47083333,21,Dissolved Oxygen,mg/l,9.3575
Site1,2/25/2013 11:18,56.47083333,21,Temperature,deg C,7.3435
Site1,2/25/2013 11:22,56.47361111,23,Dissolved Oxygen,%,73.435
Site1,2/25/2013 11:22,56.47361111,23,Dissolved Oxygen,mg/l,8.816
Site1,2/25/2013 11:22,56.47361111,23,Temperature,deg C,7.0585
Site1,2/25/2013 11:25,56.47569444,25,Dissolved Oxygen,mg/l,8.569
Site1,2/25/2013 11:25,56.47569444,25,Dissolved Oxygen,%,71.25
Site1,2/25/2013 11:25,56.47569444,25,Temperature,deg C,7.0015
Site1,2/25/2013 11:27,56.47708333,27,Dissolved Oxygen,%,69.73
Site1,2/25/2013 11:27,56.47708333,27,Dissolved Oxygen,mg/l,8.379
Site1,2/25/2013 11:27,56.47708333,27,Temperature,deg C,6.9825
Site1,2/25/2013 11:29,56.47847222,29,Dissolved Oxygen,mg/l,8.303
Site1,2/25/2013 11:29,56.47847222,29,Dissolved Oxygen,%,68.875
Site1,2/25/2013 11:29,56.47847222,29,Temperature,deg C,6.973
Site1,2/25/2013 11:33,56.48125,21,Dissolved Oxygen,%,77.9
Site1,2/25/2013 11:33,56.48125,21,Dissolved Oxygen,mg/l,9.3005
Site1,2/25/2013 11:33,56.48125,21,Temperature,deg C,7.353
Site1,2/25/2013 11:44,56.48888889,13,Dissolved Oxygen,%,82.08
Site1,2/25/2013 11:44,56.48888889,13,Dissolved Oxygen,mg/l,9.709
Site2,2/25/2013 11:44,56.48888889,13,Dissolved Oxygen,%,88.6464
Site2,2/25/2013 11:44,56.48888889,13,Dissolved Oxygen,mg/l,10.4857
Site1,2/25/2013 11:44,56.48888889,13,Temperature,deg C,7.638
Site2,2/25/2013 11:44,56.48888889,13,Temperature,deg C,8.249
Site1,2/25/2013 11:51,56.49375,3,Dissolved Oxygen,%,89.965
Site1,2/25/2013 11:51,56.49375,3,Dissolved Oxygen,mg/l,10.469
Site2,2/25/2013 11:51,56.49375,3,Dissolved Oxygen,%,97.1622
Site2,2/25/2013 11:51,56.49375,3,Dissolved Oxygen,mg/l,11.3065
Site1,2/25/2013 11:51,56.49375,3,Temperature,deg C,8.3125
Site2,2/25/2013 11:51,56.49375,3,Temperature,deg C,8.9775
Site1,2/25/2013 11:58,56.49861111,1,Chlorophyll a,ug/L,1.045
Site2,2/25/2013 11:58,56.49861111,1,Chlorophyll a,ug/L,1.1286
Site1,2/25/2013 11:58,56.49861111,1,Dissolved Oxygen,%,92.34
Site1,2/25/2013 11:58,56.49861111,1,Dissolved Oxygen,mg/l,10.64
Site2,2/25/2013 11:58,56.49861111,1,Dissolved Oxygen,%,99.7272
Site2,2/25/2013 11:58,56.49861111,1,Dissolved Oxygen,mg/l,11.4912
Site1,2/25/2013 11:58,56.49861111,1,Temperature,deg C,8.664
Site2,2/25/2013 11:58,56.49861111,1,Temperature,deg C,9.3571
Site1,3/25/2013 9:11,84.38263889,1,Chlorophyll a,ug/L,3.23
Site1,3/25/2013 9:11,84.38263889,1,Chlorophyll a,RFUs,0.95
Site2,3/25/2013 9:11,84.38263889,1,Chlorophyll a,ug/L,3.4884
Site2,3/25/2013 9:11,84.38263889,1,Chlorophyll a,RFUs,1.026
Site1,3/25/2013 9:11,84.38263889,1,Dissolved Oxygen,%,98.61
Site1,3/25/2013 9:11,84.38263889,1,Dissolved Oxygen,mg/l,10.849
Site2,3/25/2013 9:11,84.38263889,1,Dissolved Oxygen,%,106.4988
Site2,3/25/2013 9:11,84.38263889,1,Dissolved Oxygen,mg/l,11.7169
Site1,3/25/2013 9:11,84.38263889,1,Temperature,deg C,10.5355
Site2,3/25/2013 9:11,84.38263889,1,Temperature,deg C,11.3783
Site1,4/23/2013 10:38,113.4430556,1,Chlorophyll a,ug/L,1.425
Site1,4/23/2013 10:38,113.4430556,1,Chlorophyll a,RFUs,0.475
Site2,4/23/2013 10:38,113.4430556,1,Chlorophyll a,ug/L,1.539
Site2,4/23/2013 10:38,113.4430556,1,Chlorophyll a,RFUs,0.513
Site1,4/23/2013 10:38,113.4430556,1,Dissolved Oxygen,mg/l,10.3835
Site1,4/23/2013 10:38,113.4430556,1,Dissolved Oxygen,%,100.795
Site2,4/23/2013 10:38,113.4430556,1,Dissolved Oxygen,mg/l,11.2142
Site2,4/23/2013 10:38,113.4430556,1,Dissolved Oxygen,%,108.8586
Site1,4/23/2013 10:38,113.4430556,1,Temperature,deg C,13.357
Site2,4/23/2013 10:38,113.4430556,1,Temperature,deg C,14.4256
Site1,4/23/2013 10:42,113.4458333,3,Chlorophyll a,RFUs,1.045
Site1,4/23/2013 10:42,113.4458333,3,Chlorophyll a,ug/L,3.135
Site2,4/23/2013 10:42,113.4458333,3,Chlorophyll a,RFUs,1.1286
Site2,4/23/2013 10:42,113.4458333,3,Chlorophyll a,ug/L,3.3858
Site1,4/23/2013 10:42,113.4458333,3,Dissolved Oxygen,%,100.225
Site1,4/23/2013 10:42,113.4458333,3,Dissolved Oxygen,mg/l,10.3265
Site2,4/23/2013 10:42,113.4458333,3,Dissolved Oxygen,%,108.243
Site2,4/23/2013 10:42,113.4458333,3,Dissolved Oxygen,mg/l,11.1526
Site1,4/23/2013 10:42,113.4458333,3,Temperature,deg C,13.2335
Site2,4/23/2013 10:42,113.4458333,3,Temperature,deg C,14.2922
Site1,4/23/2013 10:46,113.4486111,5,Chlorophyll a,ug/L,4.37
Site1,4/23/2013 10:46,113.4486111,5,Chlorophyll a,RFUs,1.33
Site2,4/23/2013 10:46,113.4486111,5,Chlorophyll a,ug/L,4.7196
Site2,4/23/2013 10:46,113.4486111,5,Chlorophyll a,RFUs,1.4364
Site1,4/23/2013 10:46,113.4486111,5,Dissolved Oxygen,%,93.1
Site1,4/23/2013 10:46,113.4486111,5,Dissolved Oxygen,mg/l,9.9275
Site2,4/23/2013 10:46,113.4486111,5,Dissolved Oxygen,%,100.548
Site2,4/23/2013 10:46,113.4486111,5,Dissolved Oxygen,mg/l,10.7217
Site1,4/23/2013 10:46,113.4486111,5,Temperature,deg C,11.951
Site2,4/23/2013 10:46,113.4486111,5,Temperature,deg C,12.9071
Site1,4/23/2013 10:48,113.45,7,Chlorophyll a,ug/L,3.8
Site1,4/23/2013 10:48,113.45,7,Chlorophyll a,RFUs,1.14
Site2,4/23/2013 10:48,113.45,7,Chlorophyll a,ug/L,4.104
Site2,4/23/2013 10:48,113.45,7,Chlorophyll a,RFUs,1.2312
Site1,4/23/2013 10:48,113.45,7,Dissolved Oxygen,%,86.83
Site1,4/23/2013 10:48,113.45,7,Dissolved Oxygen,mg/l,9.5
Site2,4/23/2013 10:48,113.45,7,Dissolved Oxygen,%,93.7764
Site2,4/23/2013 10:48,113.45,7,Dissolved Oxygen,mg/l,10.26
Site1,4/23/2013 10:48,113.45,7,Temperature,deg C,10.792
Site2,4/23/2013 10:48,113.45,7,Temperature,deg C,11.6554
Site1,4/23/2013 10:51,113.4520833,9,Chlorophyll a,RFUs,0.57
Site1,4/23/2013 10:51,113.4520833,9,Chlorophyll a,ug/L,1.9
Site2,4/23/2013 10:51,113.4520833,9,Chlorophyll a,RFUs,0.6156
Site2,4/23/2013 10:51,113.4520833,9,Chlorophyll a,ug/L,2.052
Site1,4/23/2013 10:51,113.4520833,9,Dissolved Oxygen,%,77.52
Site1,4/23/2013 10:51,113.4520833,9,Dissolved Oxygen,mg/l,8.7685
Site2,4/23/2013 10:51,113.4520833,9,Dissolved Oxygen,%,83.7216
Site2,4/23/2013 10:51,113.4520833,9,Dissolved Oxygen,mg/l,9.47
Site1,4/23/2013 10:51,113.4520833,9,Temperature,deg C,9.3765
Site2,4/23/2013 10:51,113.4520833,9,Temperature,deg C,10.1266
Site1,4/23/2013 10:53,113.4534722,11,Chlorophyll a,ug/L,0.95
Site1,4/23/2013 10:53,113.4534722,11,Chlorophyll a,RFUs,0.285
Site2,4/23/2013 10:53,113.4534722,11,Chlorophyll a,ug/L,1.026
Site2,4/23/2013 10:53,113.4534722,11,Chlorophyll a,RFUs,0.3078
Site1,4/23/2013 10:53,113.4534722,11,Dissolved Oxygen,%,75.05
Site1,4/23/2013 10:53,113.4534722,11,Dissolved Oxygen,mg/l,8.645
Site2,4/23/2013 10:53,113.4534722,11,Dissolved Oxygen,%,81.054
Site2,4/23/2013 10:53,113.4534722,11,Dissolved Oxygen,mg/l,9.3366
Site1,4/23/2013 10:53,113.4534722,11,Temperature,deg C,8.607
Site2,4/23/2013 10:53,113.4534722,11,Temperature,deg C,9.2956
Site1,4/23/2013 10:56,113.4555556,13,Chlorophyll a,RFUs,0.285
Site1,4/23/2013 10:56,113.4555556,13,Chlorophyll a,ug/L,1.045
Site2,4/23/2013 10:56,113.4555556,13,Chlorophyll a,RFUs,0.3078
Site2,4/23/2013 10:56,113.4555556,13,Chlorophyll a,ug/L,1.1286
Site1,4/23/2013 10:56,113.4555556,13,Dissolved Oxygen,%,73.245
Site1,4/23/2013 10:56,113.4555556,13,Dissolved Oxygen,mg/l,8.493
Site2,4/23/2013 10:56,113.4555556,13,Dissolved Oxygen,%,79.1046
Site2,4/23/2013 10:56,113.4555556,13,Dissolved Oxygen,mg/l,9.1724
Site1,4/23/2013 10:56,113.4555556,13,Temperature,deg C,8.4075
Site2,4/23/2013 10:56,113.4555556,13,Temperature,deg C,9.0801
Site1,4/23/2013 10:57,113.45625,15,Chlorophyll a,RFUs,0.095
Site1,4/23/2013 10:57,113.45625,15,Chlorophyll a,ug/L,0.57
Site2,4/23/2013 10:57,113.45625,15,Chlorophyll a,RFUs,0.1026
Site2,4/23/2013 10:57,113.45625,15,Chlorophyll a,ug/L,0.6156
Site1,4/23/2013 10:57,113.45625,15,Dissolved Oxygen,mg/l,8.4645
Site1,4/23/2013 10:57,113.45625,15,Dissolved Oxygen,%,72.58
Site2,4/23/2013 10:57,113.45625,15,Dissolved Oxygen,mg/l,9.1417
Site2,4/23/2013 10:57,113.45625,15,Dissolved Oxygen,%,78.3864
Site1,4/23/2013 10:57,113.45625,15,Temperature,deg C,8.1985
Site2,4/23/2013 10:57,113.45625,15,Temperature,deg C,8.8544
Site1,4/23/2013 10:59,113.4576389,17,Chlorophyll a,ug/L,0.665
Site1,4/23/2013 10:59,113.4576389,17,Chlorophyll a,RFUs,0.19
Site1,4/23/2013 10:59,113.4576389,17,Dissolved Oxygen,mg/l,8.341
Site1,4/23/2013 10:59,113.4576389,17,Dissolved Oxygen,%,71.155
Site1,4/23/2013 10:59,113.4576389,17,Temperature,deg C,7.9515
Site1,4/23/2013 11:01,113.4590278,19,Dissolved Oxygen,%,70.205
Site1,4/23/2013 11:01,113.4590278,19,Dissolved Oxygen,mg/l,8.208
Site1,4/23/2013 11:01,113.4590278,19,Temperature,deg C,7.885
Site1,4/23/2013 11:03,113.4604167,21,Chlorophyll a,ug/L,0.475
Site1,4/23/2013 11:03,113.4604167,21,Chlorophyll a,RFUs,0.19
Site1,4/23/2013 11:03,113.4604167,21,Dissolved Oxygen,mg/l,7.9135
Site1,4/23/2013 11:03,113.4604167,21,Dissolved Oxygen,%,67.165
Site1,4/23/2013 11:03,113.4604167,21,Temperature,deg C,7.7425
Site1,4/23/2013 11:06,113.4625,23,Chlorophyll a,ug/L,0.57
Site1,4/23/2013 11:06,113.4625,23,Chlorophyll a,RFUs,0.19
Site1,4/23/2013 11:06,113.4625,23,Dissolved Oxygen,mg/l,7.638
Site1,4/23/2013 11:06,113.4625,23,Dissolved Oxygen,%,64.695
Site1,4/23/2013 11:06,113.4625,23,Temperature,deg C,7.714
Site1,4/23/2013 11:08,113.4638889,25,Chlorophyll a,ug/L,0.095
Site1,4/23/2013 11:08,113.4638889,25,Dissolved Oxygen,mg/l,7.4385
Site1,4/23/2013 11:08,113.4638889,25,Dissolved Oxygen,%,62.985
Site1,4/23/2013 11:08,113.4638889,25,Temperature,deg C,7.676
Site1,4/23/2013 11:11,113.4659722,27,Chlorophyll a,RFUs,0.095
Site1,4/23/2013 11:11,113.4659722,27,Chlorophyll a,ug/L,0.475
Site1,4/23/2013 11:11,113.4659722,27,Dissolved Oxygen,mg/l,7.2675
Site1,4/23/2013 11:11,113.4659722,27,Dissolved Oxygen,%,61.465
Site1,4/23/2013 11:11,113.4659722,27,Temperature,deg C,7.6285
Site1,4/23/2013 11:14,113.4680556,29,Chlorophyll a,RFUs,0.19
Site1,4/23/2013 11:14,113.4680556,29,Chlorophyll a,ug/L,0.38
Site1,4/23/2013 11:14,113.4680556,29,Dissolved Oxygen,mg/l,6.992
Site1,4/23/2013 11:14,113.4680556,29,Dissolved Oxygen,%,59.09
Site1,4/23/2013 11:14,113.4680556,29,Temperature,deg C,7.6
Site1,4/23/2013 11:16,113.4694444,29,Chlorophyll a,ug/L,0.95
Site1,4/23/2013 11:16,113.4694444,29,Chlorophyll a,RFUs,0.285
Site1,4/23/2013 11:16,113.4694444,29,Dissolved Oxygen,%,58.425
Site1,4/23/2013 11:16,113.4694444,29,Dissolved Oxygen,mg/l,6.916
Site1,4/23/2013 11:16,113.4694444,29,Temperature,deg C,7.6
Site1,4/23/2013 11:26,113.4763889,23,Chlorophyll a,ug/L,0.57
Site1,4/23/2013 11:26,113.4763889,23,Chlorophyll a,RFUs,0.285
Site1,4/23/2013 11:26,113.4763889,23,Dissolved Oxygen,mg/l,7.7425
Site1,4/23/2013 11:26,113.4763889,23,Dissolved Oxygen,%,65.645
Site1,4/23/2013 11:26,113.4763889,23,Temperature,deg C,7.7045
Site1,4/23/2013 11:37,113.4840278,13,Chlorophyll a,ug/L,0.95
Site1,4/23/2013 11:37,113.4840278,13,Chlorophyll a,RFUs,0.38
Site2,4/23/2013 11:37,113.4840278,13,Chlorophyll a,ug/L,1.026
Site2,4/23/2013 11:37,113.4840278,13,Chlorophyll a,RFUs,0.4104
Site1,4/23/2013 11:37,113.4840278,13,Dissolved Oxygen,%,73.055
Site1,4/23/2013 11:37,113.4840278,13,Dissolved Oxygen,mg/l,8.474
Site2,4/23/2013 11:37,113.4840278,13,Dissolved Oxygen,%,78.8994
Site2,4/23/2013 11:37,113.4840278,13,Dissolved Oxygen,mg/l,9.1519
Site1,4/23/2013 11:37,113.4840278,13,Temperature,deg C,8.417
Site2,4/23/2013 11:37,113.4840278,13,Temperature,deg C,9.0904
Site1,4/23/2013 11:48,113.4916667,5,Chlorophyll a,RFUs,0.95
Site1,4/23/2013 11:48,113.4916667,5,Chlorophyll a,ug/L,3.61
Site2,4/23/2013 11:48,113.4916667,5,Chlorophyll a,RFUs,1.026
Site2,4/23/2013 11:48,113.4916667,5,Chlorophyll a,ug/L,3.8988
Site1,4/23/2013 11:48,113.4916667,5,Dissolved Oxygen,%,89.395
Site1,4/23/2013 11:48,113.4916667,5,Dissolved Oxygen,mg/l,9.614
Site2,4/23/2013 11:48,113.4916667,5,Dissolved Oxygen,%,96.5466
Site2,4/23/2013 11:48,113.4916667,5,Dissolved Oxygen,mg/l,10.3831
Site1,4/23/2013 11:48,113.4916667,5,Temperature,deg C,11.419
Site2,4/23/2013 11:48,113.4916667,5,Temperature,deg C,12.3325
Site1,4/23/2013 11:56,113.4972222,1,Chlorophyll a,ug/L,4.275
Site1,4/23/2013 11:56,113.4972222,1,Chlorophyll a,ug/L,3.04
Site1,4/23/2013 11:56,113.4972222,1,Chlorophyll a,RFUs,0.855
Site2,4/23/2013 11:56,113.4972222,1,Chlorophyll a,ug/L,4.617
Site2,4/23/2013 11:56,113.4972222,1,Chlorophyll a,ug/L,3.2832
Site2,4/23/2013 11:56,113.4972222,1,Chlorophyll a,RFUs,0.9234
Site1,4/23/2013 11:56,113.4972222,1,Dissolved Oxygen,%,100.225
Site1,4/23/2013 11:56,113.4972222,1,Dissolved Oxygen,mg/l,10.317
Site2,4/23/2013 11:56,113.4972222,1,Dissolved Oxygen,%,108.243
Site2,4/23/2013 11:56,113.4972222,1,Dissolved Oxygen,mg/l,11.1424
Site1,4/23/2013 11:56,113.4972222,1,Temperature,deg C,13.4045
Site2,4/23/2013 11:56,113.4972222,1,Temperature,deg C,14.4769
Site1,5/7/2013 9:30,127.3958333,1,Chlorophyll a,ug/L,0.19
Site1,5/7/2013 9:30,127.3958333,1,Chlorophyll a,RFUs,0.095
Site2,5/7/2013 9:30,127.3958333,1,Chlorophyll a,ug/L,0.2052
Site2,5/7/2013 9:30,127.3958333,1,Chlorophyll a,RFUs,0.1026
Site1,5/7/2013 9:30,127.3958333,1,Dissolved Oxygen,%,100.605
Site1,5/7/2013 9:30,127.3958333,1,Dissolved Oxygen,mg/l,9.6995
Site2,5/7/2013 9:30,127.3958333,1,Dissolved Oxygen,%,108.6534
Site2,5/7/2013 9:30,127.3958333,1,Dissolved Oxygen,mg/l,10.4755
Site1,5/7/2013 9:30,127.3958333,1,Temperature,deg C,16.1405
Site2,5/7/2013 9:30,127.3958333,1,Temperature,deg C,17.4317
Site1,6/17/2013 10:49,168.4506944,1,Dissolved Oxygen,%,99.56
Site1,6/17/2013 10:49,168.4506944,1,Dissolved Oxygen,mg/l,8.5785
Site2,6/17/2013 10:49,168.4506944,1,Dissolved Oxygen,%,107.5248
Site2,6/17/2013 10:49,168.4506944,1,Dissolved Oxygen,mg/l,9.2648
Site1,6/17/2013 10:49,168.4506944,1,Temperature,deg C,21.584
Site2,6/17/2013 10:49,168.4506944,1,Temperature,deg C,23.3107
Site1,6/17/2013 10:52,168.4527778,3,Chlorophyll a,ug/L,0.285
Site1,6/17/2013 10:52,168.4527778,3,Chlorophyll a,RFUs,0.095
Site2,6/17/2013 10:52,168.4527778,3,Chlorophyll a,ug/L,0.3078
Site2,6/17/2013 10:52,168.4527778,3,Chlorophyll a,RFUs,0.1026
Site1,6/17/2013 10:52,168.4527778,3,Dissolved Oxygen,mg/l,8.55
Site1,6/17/2013 10:52,168.4527778,3,Dissolved Oxygen,%,98.515
Site2,6/17/2013 10:52,168.4527778,3,Dissolved Oxygen,mg/l,9.234
Site2,6/17/2013 10:52,168.4527778,3,Dissolved Oxygen,%,106.3962
Site1,6/17/2013 10:52,168.4527778,3,Temperature,deg C,21.242
Site2,6/17/2013 10:52,168.4527778,3,Temperature,deg C,22.9414
Site1,6/17/2013 10:59,168.4576389,5,Chlorophyll a,ug/L,1.52
Site1,6/17/2013 10:59,168.4576389,5,Chlorophyll a,RFUs,0.475
Site2,6/17/2013 10:59,168.4576389,5,Chlorophyll a,ug/L,1.6416
Site2,6/17/2013 10:59,168.4576389,5,Chlorophyll a,RFUs,0.513
Site1,6/17/2013 10:59,168.4576389,5,Dissolved Oxygen,mg/l,9.2245
Site1,6/17/2013 10:59,168.4576389,5,Dissolved Oxygen,%,103.36
Site2,6/17/2013 10:59,168.4576389,5,Dissolved Oxygen,mg/l,9.9625
Site2,6/17/2013 10:59,168.4576389,5,Dissolved Oxygen,%,111.6288
Site1,6/17/2013 10:59,168.4576389,5,Temperature,deg C,19.836
Site2,6/17/2013 10:59,168.4576389,5,Temperature,deg C,21.4229
Site1,6/17/2013 11:09,168.4645833,7,Chlorophyll a,RFUs,2.375
Site1,6/17/2013 11:09,168.4645833,7,Chlorophyll a,ug/L,7.885
Site2,6/17/2013 11:09,168.4645833,7,Chlorophyll a,RFUs,2.565
Site2,6/17/2013 11:09,168.4645833,7,Chlorophyll a,ug/L,8.5158
Site1,6/17/2013 11:09,168.4645833,7,Dissolved Oxygen,%,114.855
Site1,6/17/2013 11:09,168.4645833,7,Dissolved Oxygen,mg/l,11.5235
Site2,6/17/2013 11:09,168.4645833,7,Dissolved Oxygen,%,124.0434
Site2,6/17/2013 11:09,168.4645833,7,Dissolved Oxygen,mg/l,12.4454
Site1,6/17/2013 11:09,168.4645833,7,Temperature,deg C,14.5445
Site2,6/17/2013 11:09,168.4645833,7,Temperature,deg C,15.7081
Site1,6/17/2013 11:14,168.4680556,9,Chlorophyll a,ug/L,3.42
Site1,6/17/2013 11:14,168.4680556,9,Chlorophyll a,RFUs,1.045
Site2,6/17/2013 11:14,168.4680556,9,Chlorophyll a,ug/L,3.6936
Site2,6/17/2013 11:14,168.4680556,9,Chlorophyll a,RFUs,1.1286
Site1,6/17/2013 11:14,168.4680556,9,Dissolved Oxygen,mg/l,8.911
Site1,6/17/2013 11:14,168.4680556,9,Dissolved Oxygen,%,84.075
Site2,6/17/2013 11:14,168.4680556,9,Dissolved Oxygen,mg/l,9.6239
Site2,6/17/2013 11:14,168.4680556,9,Dissolved Oxygen,%,90.801
Site1,6/17/2013 11:14,168.4680556,9,Temperature,deg C,12.0175
Site2,6/17/2013 11:14,168.4680556,9,Temperature,deg C,12.9789
Site1,6/17/2013 11:19,168.4715278,11,Chlorophyll a,RFUs,0.665
Site1,6/17/2013 11:19,168.4715278,11,Chlorophyll a,ug/L,2.28
Site2,6/17/2013 11:19,168.4715278,11,Chlorophyll a,RFUs,0.7182
Site2,6/17/2013 11:19,168.4715278,11,Chlorophyll a,ug/L,2.4624
Site1,6/17/2013 11:19,168.4715278,11,Dissolved Oxygen,mg/l,7.619
Site1,6/17/2013 11:19,168.4715278,11,Dissolved Oxygen,%,69.16
Site2,6/17/2013 11:19,168.4715278,11,Dissolved Oxygen,mg/l,8.2285
Site2,6/17/2013 11:19,168.4715278,11,Dissolved Oxygen,%,74.6928
Site1,6/17/2013 11:19,168.4715278,11,Temperature,deg C,10.4595
Site2,6/17/2013 11:19,168.4715278,11,Temperature,deg C,11.2963
Site1,6/17/2013 11:24,168.475,13,Chlorophyll a,RFUs,0.285
Site1,6/17/2013 11:24,168.475,13,Chlorophyll a,ug/L,0.95
Site2,6/17/2013 11:24,168.475,13,Chlorophyll a,RFUs,0.3078
Site2,6/17/2013 11:24,168.475,13,Chlorophyll a,ug/L,1.026
Site1,6/17/2013 11:24,168.475,13,Dissolved Oxygen,%,60.325
Site1,6/17/2013 11:24,168.475,13,Dissolved Oxygen,mg/l,6.783
Site2,6/17/2013 11:24,168.475,13,Dissolved Oxygen,%,65.151
Site2,6/17/2013 11:24,168.475,13,Dissolved Oxygen,mg/l,7.3256
Site1,6/17/2013 11:24,168.475,13,Temperature,deg C,9.6425
Site2,6/17/2013 11:24,168.475,13,Temperature,deg C,10.4139
Site1,6/17/2013 11:29,168.4784722,15,Chlorophyll a,ug/L,1.235
Site1,6/17/2013 11:29,168.4784722,15,Chlorophyll a,RFUs,0.38
Site2,6/17/2013 11:29,168.4784722,15,Chlorophyll a,ug/L,1.3338
